Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers Prev Yr,Followers,Followers gained,Partnered,Mature,Mean weekly watch hours,Mean weekly stream hours,Followers / 100000,1 / Average viewers,ln(Followers),ln(Average viewers),ln(Mean weekly watch hours),ln(Mean weekly stream hours)
KaiCenat,6917573295,111585,348593,61993,4101063,9043160,4942097,1,0,2217170.9278846155,35.76442307692308,90.4316,0.00001613085348345781,16.017519228809487,11.034776754427373,14.611742584356588,3.5769536304900234
Gaules,6622047810,521235,253831,12704,3821821,4061076,239255,1,1,2122451.221153846,167.0625,40.61076,0.00007871536523929471,15.216958521095634,9.449672183486918,14.568082215115025,5.118367993899138
ibai,6263825640,82980,3442745,75485,12241985,15430621,3188636,1,0,2007636.423076923,26.596153846153847,154.30621,0.000013247665099026296,16.55186446980298,11.231689240001836,14.512468679194935,3.280766613083331
xQc,5740774005,111765,126238,51364,11483408,11981015,497607,1,0,1839991.6682692308,35.82211538461539,119.81015,0.0000194688887158321,16.29883387160356,10.846692816951165,14.425271601460368,3.5785654508524094
fps_shaka,5015411025,211860,125341,23673,1053268,1367770,314502,1,0,1607503.5336538462,67.90384615384616,13.6777,0.000042242216871541416,14.128692234374455,10.072090437189145,14.290192933320949,4.218092677346959
kingsleague,4808510700,36330,1098636,132356,685273,3043007,2357734,1,0,1541189.326923077,11.64423076923077,30.43007,0.0000075553809423071115,14.928356729237947,11.79325054096844,14.248064966536969,2.45481084441172
tarik,4397973510,140745,215660,31247,2426465,2967235,540770,1,0,1409606.8942307692,45.11057692307692,29.67235,0.000032003072294940317,14.903141100720196,10.349678650556253,14.158821425064954,3.8091167405887316
HasanAbi,3849415755,150030,82098,25657,2323232,2562946,239714,1,0,1233787.1009615385,48.08653846153846,25.62946,0.0000389757181276065,14.756667936064556,10.152571717850691,14.025598940979032,3.873002272277531
eliasn97,3802581165,160065,152249,23756,1401412,1789303,387891,1,0,1218776.014423077,51.30288461538461,17.89303,0.00004209462872537464,14.397336716511868,10.075590409135751,14.013357646234041,3.937746980915247
IlloJuan,3737012790,98280,151594,38024,2920113,3998038,1077925,1,0,1197760.5096153845,31.5,39.98038,0.000026299179465600672,15.201314298749688,10.545972818293846,13.995964129171815,3.449987545831587
한동숙 (handongsuk),3416028195,179685,166223,19011,545416,656754,111338,1,0,1094880.8317307692,57.59134615384615,6.56754,0.000052601125664089215,13.395064798126878,9.852773037991627,13.906156085840765,4.053372316030013
loud_coringa,3328742745,110610,205471,30094,3970500,5064402,1093902,1,0,1066904.7259615385,35.45192307692308,50.64402,0.00003322921512593873,15.43774662354167,10.312081095318824,13.880272234789706,3.568177499092772
summit1g,3220207860,233130,48921,13812,6170264,6250676,80412,1,0,1032117.9038461539,74.72115384615384,62.50676,0.00007240081088908195,15.648200175863714,9.533293058509884,13.847123466410789,4.313763236067869
PaulinhoLOKObr,3054694995,49665,266793,61506,1727377,2805389,1078012,1,0,979068.9086538461,15.91826923076923,28.05389,0.000016258576399050498,14.847052768250538,11.026890010011456,13.79435730581176,2.767467457845928
ESLCS,3039775005,486285,295493,6250,5893277,6272711,379434,1,0,974286.8605769231,155.86057692307693,62.72711,0.00016,15.651719195556899,8.740336742730447,13.789461057308868,5.048961869955317
加藤純一です (kato_junichi0817),3003643215,139920,105954,21467,726973,890549,163576,1,0,962706.1586538461,44.84615384615385,8.90549,0.000046583127591186475,13.699593405464723,9.97427215125409,13.77750351301769,3.803237828888956
zackrawrr,2968378320,146070,207866,20321,1164217,1714324,550107,0,0,951403.3076923077,46.81730769230769,17.14324,0.00004921017666453422,14.35452939178091,9.919410113079943,13.765693339632156,3.846252957041328
Papaplatte,2855306805,161895,120011,17636,1668191,2159527,491336,1,0,915162.4375,51.88942307692308,21.59527,0.00005670220004536176,14.58539977419892,9.777697546477828,13.726856855823952,3.9491149751240284
auronplay,2804746725,53865,360947,52069,14546349,16137856,1591507,1,0,898957.2836538461,17.264423076923077,161.37856,0.00001920528529451305,16.59667837431199,10.86032504105607,13.708990796923137,2.848647914524765
Cellbit,2798377740,128295,215165,21811,2573085,3304282,731197,1,1,896915.9423076923,41.12019230769231,33.04282,0.00004584842510659759,15.010729761070397,9.990169708671852,13.706717426847991,3.7164992978794635
otplol_,2797562610,509265,166788,5493,636012,711679,75667,1,0,896654.6826923077,163.22596153846155,7.11679,0.0001820498816675769,13.47538224603736,8.61122983334262,13.706426097793432,5.095135507932733
Fextralife,2661562515,150090,127557,17733,1445415,1600214,154799,1,0,853064.9086538461,48.10576923076923,16.00214,0.00005639203744431286,14.285647928266275,9.78318258949248,13.656590918131933,3.8734021123468323
Jynxzi,2351358060,136335,102970,17246,1594649,4615150,3020501,1,0,753640.4038461539,43.69711538461539,46.1515,0.00005798446016467587,15.344854928099448,9.75533551151227,13.53267061525262,3.7772820904174527
