Watch time,Stream time,Peak viewers,Average viewers,Followers Prev Yr,Followers,Followers gained,Partnered,Mature,Mean weekly watch hours,Mean weekly stream hours
6917573295,111585,348593,61993,4101063,9043160,4942097,1,0,2217170.928,35.76442308
6622047810,521235,253831,12704,3821821,4061076,239255,1,1,2122451.221,167.0625
6263825640,82980,3442745,75485,12241985,15430621,3188636,1,0,2007636.423,26.59615385
5740774005,111765,126238,51364,11483408,11981015,497607,1,0,1839991.668,35.82211538
5015411025,211860,125341,23673,1053268,1367770,314502,1,0,1607503.534,67.90384615
4808510700,36330,1098636,132356,685273,3043007,2357734,1,0,1541189.327,11.64423077
4397973510,140745,215660,31247,2426465,2967235,540770,1,0,1409606.894,45.11057692
3849415755,150030,82098,25657,2323232,2562946,239714,1,0,1233787.101,48.08653846
3802581165,160065,152249,23756,1401412,1789303,387891,1,0,1218776.014,51.30288462
3737012790,98280,151594,38024,2920113,3998038,1077925,1,0,1197760.51,31.5
3416028195,179685,166223,19011,545416,656754,111338,1,0,1094880.832,57.59134615
3328742745,110610,205471,30094,3970500,5064402,1093902,1,0,1066904.726,35.45192308
3220207860,233130,48921,13812,6170264,6250676,80412,1,0,1032117.904,74.72115385
3054694995,49665,266793,61506,1727377,2805389,1078012,1,0,979068.9087,15.91826923
3039775005,486285,295493,6250,5893277,6272711,379434,1,0,974286.8606,155.8605769
3003643215,139920,105954,21467,726973,890549,163576,1,0,962706.1587,44.84615385
2968378320,146070,207866,20321,1164217,1714324,550107,0,0,951403.3077,46.81730769
2855306805,161895,120011,17636,1668191,2159527,491336,1,0,915162.4375,51.88942308
2804746725,53865,360947,52069,14546349,16137856,1591507,1,0,898957.2837,17.26442308
2798377740,128295,215165,21811,2573085,3304282,731197,1,1,896915.9423,41.12019231
2797562610,509265,166788,5493,636012,711679,75667,1,0,896654.6827,163.2259615
2661562515,150090,127557,17733,1445415,1600214,154799,1,0,853064.9087,48.10576923
2351358060,136335,102970,17246,1594649,4615150,3020501,1,0,753640.4038,43.69711538
2349633915,144330,156716,16279,10459150,10760732,301582,1,0,753087.7933,46.25961538
2325432015,125340,65775,18552,934877,1044291,109414,1,0,745330.774,40.17307692
2290522215,187920,48646,12188,590568,661198,70630,1,0,734141.7356,60.23076923
2276896935,62055,272205,36691,442515,760715,318200,1,1,729774.6587,19.88942308
2233826220,146310,30882,15267,445286,563099,117813,1,0,715969.9423,46.89423077
2212321215,48480,403954,45633,6303875,9064326,2760451,1,0,709077.3125,15.53846154
2209898940,125355,56762,17629,2917255,2961886,44631,1,0,708300.9423,40.17788462
2164172550,87960,357257,24603,13404407,14848698,1444291,1,0,693645.0481,28.19230769
2076746145,50430,440432,41180,1479203,1899354,420151,1,0,665623.7644,16.16346154
2064079320,166740,35130,12378,599299,617352,18053,1,0,661563.8846,53.44230769
2062544310,121530,137733,16971,1564860,1834264,269404,1,0,661071.8942,38.95192308
1993852185,176880,53894,11272,723245,822139,98894,1,0,639055.1875,56.69230769
1903927485,106725,154553,17839,821141,966219,145078,1,1,610233.1683,34.20673077
1849771905,34950,824255,52926,6549087,6855524,306437,1,0,592875.6106,11.20192308
1813814130,123300,236159,14710,336502,1122289,785787,1,0,581350.6827,39.51923077
1812610305,48120,211881,37668,1855050,2036848,181798,1,0,580964.8413,15.42307692
1801683135,55245,159115,32612,6441558,9350442,2908884,1,0,577462.5433,17.70673077
1796462325,153735,48808,11685,631241,709180,77939,1,0,575789.2067,49.27403846
1790272935,116805,94536,15327,3245645,3871436,625791,1,0,573805.4279,37.4375
1786627350,105090,76716,17001,6246907,6947972,701065,1,0,572636.9712,33.68269231
1765809090,85185,1745462,20728,10599590,11878408,1278818,1,0,565964.4519,27.30288462
1765143120,113715,47393,15522,1084890,1428305,343415,1,0,565751,36.44711538
1729466070,145350,114565,11898,516957,736484,219527,1,0,554316.0481,46.58653846
1715324730,97650,66491,17565,947732,1041131,93399,1,0,549783.5673,31.29807692
1711687935,127680,74903,13406,3269581,3518844,249263,1,0,548617.9279,40.92307692
1702272870,75240,180846,22624,1110555,1709416,598861,1,0,545600.2788,24.11538462
1674125415,115785,93182,14458,575992,725915,149923,1,1,536578.6587,37.11057692
1653994935,83265,176972,19864,1374806,1657511,282705,1,0,530126.5817,26.6875
1634585340,162975,165048,10029,1061596,1214015,152419,1,0,523905.5577,52.23557692
1626781920,106230,100121,15313,8821549,8886559,65010,1,1,521404.4615,34.04807692
1599410550,151800,37112,10536,1131694,1234034,102340,1,0,512631.5865,48.65384615
1599111795,180375,38741,8865,1077319,1454832,377513,1,0,512535.8317,57.8125
1594283745,97320,52943,16381,5171598,5296635,125037,1,0,510988.3798,31.19230769
1587863475,96570,260463,16442,11499,235527,224028,1,0,508930.601,30.95192308
1582172430,115440,28517,13705,1146776,1178638,31862,1,1,507106.5481,37
1538908935,64455,202216,23875,4835672,5273464,437792,1,1,493240.0433,20.65865385
1519197690,159945,70985,9498,1475642,1564050,88408,1,0,486922.3365,51.26442308
1511255235,111420,129457,13563,5876610,7173148,1296538,1,0,484376.6779,35.71153846
1503163725,103815,185921,14479,449558,677284,227726,1,0,481783.2452,33.27403846
1490883510,47580,102021,31334,518930,816390,297460,1,0,477847.2788,15.25
1488898305,75240,82463,19788,1537409,1650107,112698,1,1,477210.9952,24.11538462
1450168260,68445,75678,21187,2051027,2074909,23882,1,0,464797.5192,21.9375
1446793575,157425,46884,9190,28490,244577,216087,1,0,463715.8894,50.45673077
1441401075,97290,69696,14815,423569,645738,222169,1,0,461987.524,31.18269231
1420050585,94200,179352,15074,3858312,4286290,427978,1,0,455144.4183,30.19230769
1413502365,62400,213846,22652,2493355,5826481,3333126,1,0,453045.6298,20
1362200460,108480,50783,12557,1775486,1983833,208347,1,0,436602.7115,34.76923077
1329626310,352665,157027,3770,646184,755006,108822,1,0,426162.2788,113.0336538
1326744930,123255,40472,10764,1658559,1739385,80826,1,1,425238.7596,39.50480769
1307893305,169785,90350,7703,1975564,2019426,43862,1,0,419196.5721,54.41826923
1307702820,91830,307528,14240,3523668,4172539,648871,1,0,419135.5192,29.43269231
1296579540,487500,9393,2659,149794,174372,24578,1,1,415570.3654,156.25
1291171080,38265,236385,33742,1560376,1820772,260396,1,0,413836.8846,12.26442308
1282015875,82080,177746,15619,3448391,3814716,366325,1,1,410902.524,26.30769231
1266167580,154935,22282,8172,447477,474833,27356,1,0,405822.9423,49.65865385
1235634450,85815,43424,14398,6608275,6716696,108421,1,0,396036.6827,27.50480769
1224334710,69225,300741,17686,736657,2370323,1633666,1,0,392414.9712,22.1875
1223205720,71970,202503,16996,9572831,11167868,1595037,1,0,392053.1154,23.06730769
1188178425,89565,26627,13266,920882,1207539,286657,1,0,380826.4183,28.70673077
1160237235,147495,60460,7866,833913,924396,90483,1,0,371870.9087,47.27403846
1157118585,83865,147761,13797,1735604,1910651,175047,1,1,370871.3413,26.87980769
1153815780,141105,29501,8177,1467335,1883510,416175,1,1,369812.75,45.22596154
1139513730,32520,162194,35040,1517111,2046111,529000,1,0,365228.7596,10.42307692
1134499710,108315,59146,10474,1161141,1261545,100404,1,0,363621.7019,34.71634615
1132080615,83745,122805,13518,2458561,2723546,264985,1,1,362846.351,26.84134615
1132014570,64815,92906,17465,394537,525444,130907,1,0,362825.1827,20.77403846
1112784555,94245,68467,11807,239060,349322,110262,1,0,356661.7163,30.20673077
1097012820,31920,217295,34367,3831703,4167483,335780,1,0,351606.6731,10.23076923
1074494205,244770,19671,4389,219305,236478,17173,1,0,344389.1683,78.45192308
1070420595,143970,22608,7434,2382594,2437634,55040,1,0,343083.524,46.14423077
1065509220,162105,38676,6572,187182,325814,138632,1,0,341509.3654,51.95673077
1051796040,156270,46542,6730,1256970,1707002,450032,1,0,337114.1154,50.08653846
