Peak viewers,Average viewers,Followers,Partnered,Mature,Mean weekly watch hours,Mean weekly stream hours
348593,61993,9043160,1,0,2217170.928,35.76442308
253831,12704,4061076,1,1,2122451.221,167.0625
3442745,75485,15430621,1,0,2007636.423,26.59615385
126238,51364,11981015,1,0,1839991.668,35.82211538
125341,23673,1367770,1,0,1607503.534,67.90384615
1098636,132356,3043007,1,0,1541189.327,11.64423077
215660,31247,2967235,1,0,1409606.894,45.11057692
82098,25657,2562946,1,0,1233787.101,48.08653846
152249,23756,1789303,1,0,1218776.014,51.30288462
151594,38024,3998038,1,0,1197760.51,31.5
166223,19011,656754,1,0,1094880.832,57.59134615
205471,30094,5064402,1,0,1066904.726,35.45192308
48921,13812,6250676,1,0,1032117.904,74.72115385
266793,61506,2805389,1,0,979068.9087,15.91826923
295493,6250,6272711,1,0,974286.8606,155.8605769
105954,21467,890549,1,0,962706.1587,44.84615385
207866,20321,1714324,0,0,951403.3077,46.81730769
120011,17636,2159527,1,0,915162.4375,51.88942308
360947,52069,16137856,1,0,898957.2837,17.26442308
215165,21811,3304282,1,1,896915.9423,41.12019231
166788,5493,711679,1,0,896654.6827,163.2259615
127557,17733,1600214,1,0,853064.9087,48.10576923
102970,17246,4615150,1,0,753640.4038,43.69711538
156716,16279,10760732,1,0,753087.7933,46.25961538
65775,18552,1044291,1,0,745330.774,40.17307692
48646,12188,661198,1,0,734141.7356,60.23076923
272205,36691,760715,1,1,729774.6587,19.88942308
30882,15267,563099,1,0,715969.9423,46.89423077
403954,45633,9064326,1,0,709077.3125,15.53846154
56762,17629,2961886,1,0,708300.9423,40.17788462
357257,24603,14848698,1,0,693645.0481,28.19230769
440432,41180,1899354,1,0,665623.7644,16.16346154
35130,12378,617352,1,0,661563.8846,53.44230769
137733,16971,1834264,1,0,661071.8942,38.95192308
53894,11272,822139,1,0,639055.1875,56.69230769
154553,17839,966219,1,1,610233.1683,34.20673077
824255,52926,6855524,1,0,592875.6106,11.20192308
236159,14710,1122289,1,0,581350.6827,39.51923077
211881,37668,2036848,1,0,580964.8413,15.42307692
159115,32612,9350442,1,0,577462.5433,17.70673077
48808,11685,709180,1,0,575789.2067,49.27403846
94536,15327,3871436,1,0,573805.4279,37.4375
76716,17001,6947972,1,0,572636.9712,33.68269231
1745462,20728,11878408,1,0,565964.4519,27.30288462
47393,15522,1428305,1,0,565751,36.44711538
114565,11898,736484,1,0,554316.0481,46.58653846
66491,17565,1041131,1,0,549783.5673,31.29807692
74903,13406,3518844,1,0,548617.9279,40.92307692
180846,22624,1709416,1,0,545600.2788,24.11538462
93182,14458,725915,1,1,536578.6587,37.11057692
176972,19864,1657511,1,0,530126.5817,26.6875
165048,10029,1214015,1,0,523905.5577,52.23557692
100121,15313,8886559,1,1,521404.4615,34.04807692
37112,10536,1234034,1,0,512631.5865,48.65384615
38741,8865,1454832,1,0,512535.8317,57.8125
52943,16381,5296635,1,0,510988.3798,31.19230769
260463,16442,235527,1,0,508930.601,30.95192308
28517,13705,1178638,1,1,507106.5481,37
202216,23875,5273464,1,1,493240.0433,20.65865385
70985,9498,1564050,1,0,486922.3365,51.26442308
129457,13563,7173148,1,0,484376.6779,35.71153846
185921,14479,677284,1,0,481783.2452,33.27403846
102021,31334,816390,1,0,477847.2788,15.25
82463,19788,1650107,1,1,477210.9952,24.11538462
75678,21187,2074909,1,0,464797.5192,21.9375
46884,9190,244577,1,0,463715.8894,50.45673077
69696,14815,645738,1,0,461987.524,31.18269231
179352,15074,4286290,1,0,455144.4183,30.19230769
213846,22652,5826481,1,0,453045.6298,20
50783,12557,1983833,1,0,436602.7115,34.76923077
157027,3770,755006,1,0,426162.2788,113.0336538
