Channel_ID,Channel,Peak viewers,Average viewers,FollowersPrevYr,Followers,Followers gained,FollowerGainPercent,Language,Partnered,Mature,Stream time,Watch time
32,Nmplol,17765,1921,268494,1210826,94124,0.451580813,English,1,1,48030,350418375
420,AntoineDaniel,253831,5570,368427,2074909,619656,0.460909633,English,1,0,77445,719830245
222,Zentreya,19010,4214,902427,2040669,104846,0.043691101,French,1,0,490530,196062585
466,HutchMF,8872,61506,738635,182981,56351,0.145538154,English,1,0,99585,449404035
840,XenosysVex,15803,2668,554725,189023,227309,0.693439643,English,1,0,219480,180433995
898,LuquEt4,40518,3982,4436197,69164,3020501,0.297247258,English,1,0,89670,257596125
187,curry,34713,15327,10599590,171898,129458,5.022463032,French,1,0,117615,410259210
541,filian,33227,1247,1920303,347045,319110,0.176392692,Turkish,1,0,160500,289991745
876,DuendePablo,137733,1240,1120881,891054,35473,0.794107963,Japanese,1,0,128190,223742880
715,ybicanoooobov,191848,1742,147433,384684,83802,0.112625823,Portuguese,1,0,29910,221031450
436,Ã¬Å’ÂÃ«Â²Â  (pacific8815),15642,2341,206694,360304,76925,2.226322114,English,1,1,83850,436617060
501,GeneraL_HS_,15451,3035,4101063,848569,6868,0.035172563,English,1,0,168510,319647510
236,Ã­ÂÂ¬Ã¬ÂºÂ£66 (crazzyccat),11895,13812,406109,42012,85017,0.146245989,Spanish,1,0,70545,216412815
193,Psychoghost,19255,4292,379280,109030,67131,0.072298711,English,1,0,83865,216519540
15,Sintica,18136,5228,124865,758478,154799,0.382816334,English,1,0,91995,994994640
722,Payo,19442,3484,83232,526955,55224,0.348689054,German,1,0,122025,174890505
135,aspaszin,8994,529,553443,290152,11756,0.153762812,English,1,0,120180,172440135
277,Joe_Bartolozzi,8921,5947,270357,303512,30777,0.242368813,French,1,0,113160,316753575
37,maxim,26037,3792,1946426,964747,46096,0.086488655,English,1,1,142140,254338770
175,IzakOOO,4335,2613,156510,106990,319132,0.144176896,Spanish,1,0,69960,3054694995
806,bananabrea,1340960,32612,1242865,846737,23014,1.118655912,Portuguese,1,0,132285,365242680
773,MYM_ALKAPONE,31319,1322,545416,483681,1444291,0.040477422,Spanish,1,0,73800,2076746145
644,Rengawr,14189,1598,298538,1989766,11563,0.027586096,Russian,1,0,17460,616540455
885,supertf,9833,2719,239562,531095,16998,0.103181258,Japanese,1,0,125985,188615370
596,Kaydop,27139,2902,284535,618568,24931,0.166979083,German,1,1,98415,194751495
22,Baiano,39899,1337,846692,69800,82439,0.406165329,English,1,0,45600,371069535
171,cdewx,81405,9498,573402,502595,15998,0.718104483,German,1,0,150090,307678380
40,easportsfc,17654,10641,1266682,1358599,70845,0.234716021,Spanish,1,0,177300,211923990
80,roflgator,11176,1887,117138,2190680,72528,0.129615435,English,1,0,163335,395460000
528,SergioFFerra,88152,733,3693967,309855,124136,0.148817577,French,1,0,55035,3039775005
856,Staryuuki,29128,4098,463889,713045,59749,0.058282908,Korean,1,0,144360,2661562515
409,Ã­â€Å’Ã«Â Ë†Ã¬Å¾â€ž__ (flamekr),50783,1300,404958,498227,109007,0.830145883,Korean,1,0,197670,388082325
184,forsen,38290,841,1573548,2713442,283558,2.923206396,Chinese,1,0,127245,359892045
146,LVPes,59146,53660,139391,2437634,199224,0.011957863,Spanish,1,0,102300,1307702820
674,RRaenee,38435,1522,1154614,468708,4942097,0.264124941,English,1,0,119655,250564380
74,UselessMouth,200282,1849,141391,390819,157315,1.203455946,English,1,0,43890,2290522215
314,FoxenKin,7333,1735,206151,196975,80426,0.325951583,English,1,0,106725,1282015875
89,jessirocks,24325,1516,73218,451983,2635,0.030323099,Russian,1,0,148875,175479345
478,CCT_CS,5053,8865,239060,1166858,2346,0.225009732,English,1,0,209880,667733490
164,GetOnMyLvLTV,11221,2296,2323232,686575,262200,0.097748544,French,1,0,159090,643119645
602,aXtLOL,5149,2076,231137,241952,7423,0.036172937,English,1,0,61230,383809890
841,Ã£Ââ€˜Ã£â€šâ€œÃ£ÂÂ (kenki521),166788,7807,96570,439356,14289,0.605943948,English,1,0,95730,252840915
109,Franio,14382,10029,401694,583166,563661,0.909233209,Russian,1,1,110805,453855840
771,Pestily,440432,1569,255948,6250676,9513,-0.007701849,English,1,0,127560,1511255235
8,PietSmiet,11467,12557,177941,692020,395358,0.053847648,Chinese,1,0,333645,222472500
56,ElSpreen,10225,1901,66376,772214,118111,0.045841343,English,1,0,141945,1626781920
530,ÃªÂ¹â‚¬Ã«ÂÅ“Ã«ÂªÂ¨ (kimdoenmo),44008,490,1476106,424418,46586,0.002266102,Japanese,1,0,69705,214456770
472,iiTzTimmy,20075,4200,204829,321693,71168,0.036665372,English,1,0,97290,702213750
892,ÃªÂ°ÂÃ«Â¸â€Ã«Å¸Â¬ (9ambler),36401,1939,2408455,1060709,33243,0.36819743,German,1,0,200925,266220885
67,í•œë™ìˆ™ (handongsuk),20339,2070,821996,164037,47666,0.115485564,English,1,0,171060,209525340
404,Ã¬â€“ÂÃ¬â€“Â (yapyap30),38965,3190,696820,2045004,224793,0.156509282,Portuguese,1,1,78195,171564390
550,elxokas,26872,2564,260187,496942,1794,0.20505668,Portuguese,1,0,173745,388203675
26,Mictia00,53819,10644,243763,1718281,15648,0.022618852,English,1,0,185145,391939125
799,Esportmaniacos,8111,1937,648115,430190,140078,0.072495528,English,1,0,115305,177763785
571,Tealzlol,13757,7303,307479,202923,27413,0.128995509,Spanish,1,0,69225,374613735
745,bysTaXx,8912,4777,106502,1080339,117813,0.137246101,Spanish,1,0,117000,323208645
539,fifakillvizualz,31867,5204,408471,406174,15108,0.201971344,French,1,0,65595,229888755
128,ibabyrainbow,19902,3668,840703,15430621,127260,0.076027483,Spanish,1,1,120330,307522980
506,telefe,14130,4612,232586,1120195,33726,0.204134092,Japanese,1,0,167445,323486235
888,Cydonia_Chiara,690360,1651,258160,563717,-376,0.208686499,English,1,0,84975,339671040
204,VeRsuta,182838,1480,2432283,247304,123034,0.110923637,English,1,0,133230,1157118585
468,ã‚†ã‚†ã†ãŸæŠ¼å¿ (yuyuta0702),22365,2886,588779,422480,79077,0.084246226,English,1,0,524325,1038272565
441,Jahrein,158751,6367,142962,405025,-18066,0.120647874,Spanish,1,0,104880,265879800
459,AdinRoss,30173,2940,93524,174727,229063,0.027783979,Russian,1,0,106035,259105320
332,BruceDropEmOff,18743,4068,231534,1585464,16665,0.203974107,Portuguese,1,0,435285,1134499710
663,Strippin,19997,3043,242065,1166948,3732,1.426378413,French,1,0,64815,5740774005
865,QTCinderella,26296,13400,94470,426865,429128,0.020400101,Russian,1,0,50430,196000350
600,Ray__C,12005,19295,1110555,9064326,334780,0.089319813,Korean,1,0,108480,667841835
719,Joueur_du_Grenier,2732,1845,790925,4460643,59655,-0.009616717,English,1,0,206430,629825145
386,Silvervale,64293,1383,782436,203837,158654,0.344060943,English,1,0,123300,223354935
197,NiceWigg,9567,4775,47542,333939,97362,0.119020068,English,1,0,131865,275253225
325,ElmiilloR,26186,2909,126799,677284,8390,0.286328771,Thai,1,0,59205,397535220
461,H0llyLP,65954,8492,731524,836073,64117,-0.000705,English,1,1,91785,216293235
107,aminematue,286930,2962,433417,392687,66128,0.015845068,English,1,0,114045,381219465
55,BLASTPremier,10037,4451,818231,656754,96829,0.311285268,English,1,0,44445,622765680
784,xChocoBars,32009,3305,218807,116784,427978,0.119596727,English,1,0,107730,173199210
374,ESLCS,5943,7703,1578173,354906,209363,0.073303851,German,1,0,106470,366038655
517,Michel,29501,1884,301525,990561,44088,0.160012186,German,1,0,190425,197508795
376,AvoidingThePuddle,17651,10603,2426465,129299,2234,7.610541624,Spanish,1,0,13065,226497525
868,s0mcs,22608,3090,135713,516892,75095,0.188602974,English,1,0,94800,208880895
290,TomateKing,4673,21811,58325,158988,100404,1.186151893,Polish,1,0,104175,337914630
815,Fakturka,23133,7579,271888,251443,-292,0.284171335,English,1,0,525090,233122965
46,Roier,153559,415,213072,180379,52743,0.324559968,Spanish,1,0,68760,184471125
65,LPL,77642,1646,366799,176662,94141,0.23691691,English,1,0,172500,174722130
240,henyathegenius,25687,28531,873029,115940,110908,0.350418957,Spanish,1,0,126300,423015150
70,jujalag,56270,2708,410706,3972401,21810,0.204840566,Spanish,1,0,406560,729166005
295,SolaryHS,53585,662,568307,325814,1296538,0.123422603,Japanese,1,0,63585,1849771905
16,Uzra,6432,3681,392814,914160,258489,0.143575334,English,1,0,58815,247323930
684,Ã«â€¦Â¸Ã«ÂÅ’Ã«Â¦Â¬ (nodolly),53931,3012,54023,369600,121781,0.420937828,Spanish,0,0,90675,212158245
809,chilevisioncl,207866,10549,940136,25670,26593,0.055976158,Russian,0,0,160875,185220735
17,ÃªÂ¹â‚¬Ã¬Â§â€žÃ¬Å¡Â° (jinu6734),14295,10714,421314,131113,145304,9.015771449,Russian,0,0,146070,2968378320
796,Xop0,16539,1920,1164217,279013,176890,0.962487153,Portuguese,0,0,91575,186665310
239,zackrawrr,10482,5685,44580,533781,177347,2.717997572,Korean,0,0,179850,417339150
837,Facadarp_,20278,648,224296,233600,15644,0.033404624,English,0,1,49680,179765400
292,evelone2004,32563,2038,725793,401822,181681,0.080397012,Portuguese,0,1,66945,380627910
274,Ã«Âªâ€¦Ã­â€ºË† (mlchoins),58197,2526,86318,533665,4795,0.338774013,Korean,0,0,107910,388881105
440,LUZU_TV,7613,1523,135,357364,307588,4.410430686,Korean,0,0,53100,289369890
207,casinosakultah,9425,13126,274753,1714324,157821,0.72556333,English,0,0,112020,448153965
520,cs2_paragon_ru,16323,2339,241453,148338,240565,2.161828988,English,0,0,50775,257535840
785,Ã¬Â¹Â¨Ã¬Â°Â©Ã«Â§Â¨ (zilioner),1891,4000,327146,261997,20544,0.085084882,Portuguese,0,1,91170,188692230
427,LoLWorldChampionship,37109,2205,161257,111135,206635,1.560343108,English,0,1,11655,295476780
589,AUslots,28919,561,226077,868722,59112,-0.053230596,Russian,0,0,21915,234802455
659,StRoGo1337,35778,6239,65081,241197,101915,0.197384393,Japanese,0,0,142950,217736505
634,å¶ã¡ã‚ƒã‚“ã­ã‚‹ (kanae_2434),33020,5449,32441,55979,550107,13.94061327,Turkish,0,0,74085,223172310
361,UtopiaGaming,39859,20321,558959,502098,593969,0.282348079,Korean,0,0,174480,335116530
117,Bkinho,22528,11220,157232,598661,100039,0.472512427,Spanish,0,0,79035,886814190
203,Ã¬ÂÂ´Ã«â€¹Â¤2 (airshowerse),3373,25352,419329,890092,82769,0.631629303,Portuguese,0,0,42825,451777275
